id,conversation_id,turn_no,speaker,utterance,intent,negotiation_strategy,negotiation_stage,travel_persona
9,1188,1,0,What meals are included in the Cultural Heritage Tour package? What is included in the Culinary Tour package?,Ask_Clarification-Y,,,"['cultural heritage tour package', 'meals']"
9,1188,1,1,The Culinary Tour package includes three meals per day.,Provide_Clarification-Y,problem-solving,problem_identification,{}
9,1188,2,0,Can you provide me with the price of the tour package?,Ask_Price,,,"['cultural heritage tour package', 'meals']"
9,1188,2,1,"The package will cost you $12,500?",Tell_Price,problem-solving,problem_identification,{}
9,1188,3,0,"I appreciate your offer of $12,500, but my budget is $9,162.31. Is there any possibility we can work within that range?",Negotiate-Price-Decrease,,,"['cultural heritage tour package', 'meals']"
9,1188,3,1,"I understand your budget constraints, but unfortunately, I cannot go as low as $9,162.31. However, I can offer you a discounted price of $12,041.31 which is the best I can do.",Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
9,1188,4,0,"I appreciate the discounted price offer of $12,041.31, but I am afraid that it exceeds my budget. I can only go up to $9,415.86 for this package. Is there any possibility of reaching a compromise closer to my budget?",Negotiate-Price-Decrease,,,"['cultural heritage tour package', 'meals']"
9,1188,4,1,"I understand your concern about the budget. However, this package offers a wide range of experiences and culinary delights that you won't find anywhere else. I can certainly try to work on a compromise for you. Let me see what options I can explore to bring the cost closer to your budget. I will get back to you soon with a revised proposal.",Negotiate-Price-NoChange,flexible-pricing,problem_identification,{}
9,1188,5,0,"I don't require any food pairing during the tour, so please remove that amenity from the package.",Negotiate-Remove-X,,,"['food pairing', 'cultural heritage tour package', 'meals']"
9,1188,5,1,"I understand that you don't require any food pairing during the tour. As an alternative, I can offer you a Farm-to-table Experience which will lower down the price of the tour to $12041.31.",Negotiate-Remove-Y-Add-X,collaborative-proposal,problem_identification,{}
9,1188,6,0,"Yes, I would like to add the Farm-to-table Experience.",provide_consent,,,"['food pairing', 'cultural heritage tour package', 'meals']"
9,1188,6,1,"Thanks for your consent, we are adding the Farm-to-table Experience as a service.",consent_response,collaborative-proposal,problem_identification,{}
9,1188,7,0,"Thank you for including the Farm-to-table Experience in the package. However, I would like to discuss the budget. I have proposed a budget of $9415.855168768629 and I am hoping that we can work within that range.",Negotiate-Price-NoChange,,,"['food pairing', 'cultural heritage tour package', 'meals']"
9,1188,7,1,"Thank you for your feedback. I understand your budget concerns, but I'm afraid we cannot meet your proposed budget of $9415.855168768629. However, I can offer you a discounted rate of $12021.312728868103 for the package.",Negotiate-Price-Increase,flexible-pricing,offer_generation,{}
9,1188,8,0,"I appreciate your understanding of my budget concerns. However, I cannot exceed my proposed budget of $9648.143064005139 for the tour package. Is there any possibility of reaching a compromise closer to my budget?",Negotiate-Price-Decrease,,,"['food pairing', 'understanding', 'cultural heritage tour package', 'meals']"
9,1188,8,1,"I understand your budget concerns and I appreciate your willingness to compromise. However, considering the services and amenities provided in this package, it would be difficult to lower the cost to your proposed budget. However, I can offer you a discounted rate of $10,500 for the tour package, which is still closer to your budget.",Negotiate-Price-NoChange,flexible-pricing,offer_generation,{}
9,1188,9,0,"Yes, I understand and appreciate the discounted rate. I would like to proceed with the tour package at $10,500.",provide_consent,,,"['food pairing', 'understanding', 'cultural heritage tour package', 'meals']"
9,1188,9,1,"Thank you for your consent. We will proceed with the tour package at the discounted rate of $10,500.",consent_response,collaborative-proposal,offer_generation,{}
9,1188,10,0,"I'm really happy with the package and the proposed price, so let's go ahead and finalize the deal. Thanks!",Accept,,,"['food pairing', 'understanding', 'cultural heritage tour package', 'meals']"
9,1188,10,1,I'm happy to inform you that the tour package deal has been accepted. Thank you for choosing our services!,Acknowledge acceptance,no-strategy,relational_positioning,{}
11,945,1,0,What is NA in Wellness Retreat? ,Ask_Clarification-Y,,,['wellness retreat']
11,945,1,1,A means not applicable' ,Provide_Clarification-Y,problem-solving,problem_identification,{}
11,945,2,0,I am getting bored because there is no Spa access in my tour package ,Negotiate-Remove-X,,,"['wellness retreat', 'spa access']"
11,945,2,1,"It's fine if you want to remove the service Spa access, but as an option to this I would recommend Nature walks as a service which make this tour cost only $15000 ",Negotiate-Remove-Y-Add-X,strategic-proposal,problem_identification,{}
11,945,3,0,"no, I am okay with Nature trips. ",provide_consent,,,"['nature trips', 'wellness retreat', 'spa access']"
11,945,3,1,"Thanks for your consent, we are removing Nature trip as a tour ",consent_response,strategic-proposal,problem_identification,{}
11,945,4,0,"I want to add Healing Therapies, since I am mentally stressed out ",Negotiate-Add-X,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,4,1,"You should definity add the amenity Healing Therapies, the final tour cost is 15,900 ",Negotiate-Add-X,strategic-proposal,problem_identification,{}
11,945,5,0,I cannot go above $12500 ,Negotiate-Price-NoChange,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,5,1, I can provide you the package of same amenities at $12000 so you have to go with it ,Negotiate-Price-NoChange,firm-pricing,problem_identification,{}
11,945,6,0,But I cannot go beyond $12500 It's enough for me ,Negotiate-Price-NoChange,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,6,1,"You are not getting something that you are looking for, we have another package it worth of $12500,if you will be interested in then please reply ASAP. ",Negotiate-Price-NoChange,firm-pricing,problem_identification,{}
11,945,7,0,NO thanks not interest in that package. ,provide_consent,,,"['nature trips', 'wellness retreat', 'healing therapies', 'spa access']"
11,945,7,1,You are not interested in this package ,consent_response,strategic-proposal,offer_generation,{}
